00:24:26 [INFO] Opening target process: csgo.exe
00:24:26 [INFO] Starting signature scanning: 0 items
00:24:26 [INFO] Finished signature scanning: 0/0 items successful
00:24:26 [INFO] Starting netvar scanning: 0 items
00:25:11 [INFO] Opening target process: csgo.exe
00:25:11 [INFO] Starting signature scanning: 0 items
00:25:11 [INFO] Finished signature scanning: 0/0 items successful
00:25:11 [INFO] Starting netvar scanning: 0 items
00:25:25 [INFO] Opening target process: csgo.exe
00:25:25 [INFO] Starting signature scanning: 0 items
00:25:25 [INFO] Finished signature scanning: 0/0 items successful
00:25:25 [INFO] Starting netvar scanning: 0 items
00:37:04 [INFO] Opening target process: csgo.exe
00:37:05 [INFO] Starting signature scanning: 58 items
00:37:05 [INFO] Found signature: dwClientState => 0x59F194
00:37:05 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
00:37:05 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
00:37:05 [INFO] Found signature: dwClientState_Map => 0x28C
00:37:05 [INFO] Found signature: dwClientState_MapDirectory => 0x188
00:37:05 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
00:37:05 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
00:37:05 [INFO] Found signature: dwClientState_State => 0x108
00:37:05 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
00:37:05 [INFO] Found signature: clientstate_delta_ticks => 0x174
00:37:05 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
00:37:05 [INFO] Found signature: clientstate_choked_commands => 0x4D30
00:37:05 [INFO] Found signature: clientstate_net_channel => 0x9C
00:37:05 [INFO] Found signature: dwEntityList => 0x4DFBE54
00:37:05 [INFO] Found signature: dwForceAttack => 0x3229CBC
00:37:05 [INFO] Found signature: dwForceAttack2 => 0x3229CC8
00:37:05 [INFO] Found signature: dwForceBackward => 0x3229C68
00:37:05 [INFO] Found signature: dwForceForward => 0x3229CEC
00:37:05 [INFO] Found signature: dwForceJump => 0x52B7BDC
00:37:05 [INFO] Found signature: dwForceLeft => 0x3229C74
00:37:05 [INFO] Found signature: dwForceRight => 0x3229C80
00:37:05 [INFO] Found signature: dwGameDir => 0x63AD80
00:37:05 [INFO] Found signature: dwGameRulesProxy => 0x532B40C
00:37:05 [INFO] Found signature: dwGetAllClasses => 0xE07FDC
00:37:05 [INFO] Found signature: dwGlobalVars => 0x59EE58
00:37:05 [INFO] Found signature: dwGlowObjectManager => 0x5356910
00:37:05 [INFO] Found signature: dwInput => 0x5259428
00:37:05 [INFO] Found signature: dwInterfaceLinkList => 0x999154
00:37:05 [INFO] Found signature: dwLocalPlayer => 0xDE6964
00:37:05 [INFO] Found signature: dwMouseEnable => 0x5235088
00:37:05 [INFO] Found signature: dwMouseEnablePtr => 0x5235058
00:37:05 [INFO] Found signature: dwPlayerResource => 0x3228000
